split,score_method,threshold,coverage,risk,accepted_known_rows,total_known_rows
known_val,max_logit,6.387094917297363,0.8097746561311091,0.03216479942175643,2767,3417
known_val,max_logit,6.523324871063233,0.7998244073748902,0.030003658982802772,2733,3417
known_val,max_logit,6.659540786743164,0.7898741586186714,0.028529084846239394,2699,3417
known_val,max_logit,6.79307502746582,0.7799239098624524,0.02551594746716701,2665,3417
known_val,max_logit,6.934704341888429,0.7699736611062336,0.023945267958951022,2631,3417
known_val,max_logit,7.03951000213623,0.7600234123500146,0.022333461686561362,2597,3417
known_val,max_logit,7.198183059692383,0.7500731635937957,0.02106905969566919,2563,3417
known_val,max_logit,7.321932811737061,0.7398302604623939,0.020965189873417667,2528,3417
known_val,max_logit,7.432384262084961,0.729880011706175,0.018845228548516446,2494,3417
known_val,max_logit,7.561689624786378,0.7199297629499561,0.018292682926829285,2460,3417
known_val,max_logit,7.720618305206298,0.7099795141937372,0.017724649629018985,2426,3417
known_val,max_logit,7.878281307220459,0.7000292654375183,0.01672240802675584,2392,3417
known_val,max_logit,7.975034484863281,0.6900790166812993,0.016115351993214566,2358,3417
known_val,max_logit,8.070080184936524,0.6798361135498976,0.01549720189410242,2323,3417
known_val,max_logit,8.183276290893554,0.6698858647936786,0.013543031891655732,2289,3417
known_val,max_logit,8.294741134643555,0.6599356160374598,0.013303769401330379,2255,3417
known_val,max_logit,8.418999099731446,0.6499853672812409,0.012606933813597454,2221,3417
known_val,max_logit,8.53501651763916,0.6400351185250219,0.012802926383173263,2187,3417
known_val,max_logit,8.665581665039063,0.6300848697688031,0.01207617278216444,2153,3417
known_val,max_logit,8.7727099609375,0.6198419666374012,0.010387157695939564,2118,3417
known_val,max_logit,8.895947189331055,0.6098917178811823,0.010076775431861806,2084,3417
known_val,max_logit,9.02777328491211,0.5999414691249634,0.009268292682926838,2050,3417
known_val,max_logit,9.149107627868652,0.5899912203687445,0.008928571428571397,2016,3417
known_val,max_logit,9.223202972412109,0.5800409716125257,0.008577194752774964,1982,3417
known_val,max_logit,9.330041847229003,0.5700907228563067,0.008213552361396315,1948,3417
known_val,max_logit,9.434485549926757,0.5598478197249049,0.007841087297438598,1913,3417
known_val,max_logit,9.551982498168945,0.549897570968686,0.006918573709419951,1879,3417
known_val,max_logit,9.674304847717286,0.5399473222124671,0.007046070460704601,1845,3417
known_val,max_logit,9.821761131286623,0.5299970734562481,0.007178354500276041,1811,3417
known_val,max_logit,9.916744956970215,0.5200468247000293,0.006752954417557633,1777,3417
known_val,max_logit,10.000780601501464,0.5100965759438104,0.0068846815834767705,1743,3417
known_val,max_logit,10.098493576049805,0.5001463271875914,0.00702165008777067,1709,3417
known_val,max_logit,10.242623252868652,0.48990342405618964,0.007168458781361964,1674,3417
known_val,max_logit,10.346791152954104,0.4799531752999707,0.007317073170731714,1640,3417
known_val,max_logit,10.476825485229492,0.4700029265437518,0.0062266500622665255,1606,3417
known_val,max_logit,10.597922019958496,0.46005267778753295,0.006361323155216314,1572,3417
known_val,max_logit,10.734923362731934,0.45010242903131403,0.0058517555266579535,1538,3417
known_val,max_logit,10.849838676452636,0.4401521802750951,0.005984042553191515,1504,3417
known_val,max_logit,10.975017166137695,0.4299092771436933,0.005445881552076259,1469,3417
known_val,max_logit,11.100971031188964,0.4199590283874744,0.0055749128919860835,1435,3417
known_val,max_logit,11.242449340820311,0.4100087796312555,0.005710206995003575,1401,3417
known_val,max_logit,11.346688079833985,0.40005853087503657,0.00512070226773953,1367,3417
known_val,max_logit,11.473006172180174,0.39010828211881765,0.005251312828207011,1333,3417
known_val,max_logit,11.563241157531738,0.3801580333625988,0.004618937644341847,1299,3417
known_val,max_logit,11.69720458984375,0.3702077846063799,0.004743083003952542,1265,3417
known_val,max_logit,11.807816429138187,0.35996488147497807,0.004878048780487809,1230,3417
known_val,max_logit,11.935963439941407,0.35001463271875916,0.004180602006689016,1196,3417
known_val,max_logit,12.052201499938965,0.34006438396254024,0.004302925989672968,1162,3417
known_val,max_logit,12.213757400512696,0.3301141352063213,0.0035460992907800915,1128,3417
known_val,max_logit,12.343482818603515,0.3201638864501024,0.003656307129798919,1094,3417
known_val,max_logit,12.46399513244629,0.3099209833187006,0.0037771482530689626,1059,3417
known_val,max_logit,12.565809440612794,0.2999707345624817,0.0039024390243902474,1025,3417
known_val,max_logit,12.698321876525878,0.29002048580626283,0.004036326942482349,991,3417
known_val,max_logit,12.797783699035644,0.2800702370500439,0.004179728317659337,957,3417
known_val,max_logit,12.90021701812744,0.270119988293825,0.004333694474539573,923,3417
known_val,max_logit,13.02445426940918,0.2601697395376061,0.003374578177727794,889,3417
known_val,max_logit,13.192750930786133,0.25021949078138717,0.0035087719298245723,855,3417
known_val,max_logit,13.314241371154784,0.23997658764998536,0.003658536585365857,820,3417
known_val,max_logit,13.461088180541992,0.23031899326894936,0.003811944091486663,787,3417
known_val,max_logit,13.622716674804687,0.22007609013754756,0.003989361702127714,752,3417
known_val,max_logit,13.760324363708499,0.21012584138132864,0.004178272980501441,718,3417
known_val,max_logit,13.900797653198243,0.20017559262510976,0.0029239766081871066,684,3417
known_val,max_logit,14.038699760437012,0.19022534386889084,0.003076923076923088,650,3417
known_val,max_logit,14.217897949218758,0.17998244073748904,0.001626016260162566,615,3417
known_val,max_logit,14.408421936035158,0.17003219198127012,0.0017211703958691649,581,3417
known_val,max_logit,14.529369468688966,0.1600819432250512,0.001828153564899404,547,3417
known_val,max_logit,14.702699279785156,0.15013169446883232,0.0019493177387914784,513,3417
known_val,max_logit,14.978617935180663,0.1401814457126134,0.0020876826722338038,479,3417
known_val,max_logit,15.201566696166992,0.1305238513315774,0.0,446,3417
known_val,max_logit,15.392153739929197,0.11998829382499268,0.0,410,3417
known_val,max_logit,15.728173866271973,0.11003804506877378,0.0,376,3417
known_val,max_logit,16.020762634277343,0.10008779631255488,0.0,342,3417
known_val,max_logit,16.351141815185546,0.09013754755633596,0.0,308,3417
known_val,max_logit,16.723730239868168,0.08018729880011706,0.0,274,3417
known_val,max_logit,17.17660919189453,0.07023705004389816,0.0,240,3417
known_val,max_logit,17.58707847595216,0.05999414691249634,0.0,205,3417
known_val,max_logit,18.03966445922852,0.05004389815627744,0.0,171,3417
known_val,max_logit,18.74311309814453,0.04009364940005853,0.0,137,3417
known_val,max_logit,19.272429275512696,0.030143400643839625,0.0,103,3417
known_val,max_logit,20.34951126098632,0.02019315188762072,0.0,69,3417
known_val,max_logit,22.255263671875003,0.010242903131401814,0.0,35,3417
known_val,max_logit,37.33583450317383,0.000292654375182909,0.0,1,3417
known_test,max_logit,0.802798330783844,1.0,0.07880910683012254,3426,3426
known_test,max_logit,2.186078727245331,0.9897840046701692,0.0734296667649661,3391,3426
known_test,max_logit,2.8762353658676147,0.9798598949211909,0.06851355376824542,3357,3426
known_test,max_logit,3.285493850708008,0.9699357851722125,0.06439963888052969,3323,3426
known_test,max_logit,3.505326509475708,0.9600116754232341,0.06050471267862567,3289,3426
known_test,max_logit,3.8645468950271606,0.9497956800934034,0.058389674247080525,3254,3426
known_test,max_logit,4.11972713470459,0.939871570344425,0.054968944099378914,3220,3426
known_test,max_logit,4.318768739700317,0.9299474605954466,0.053358443188951665,3186,3426
known_test,max_logit,4.527347564697266,0.9200233508464681,0.04980964467005078,3152,3426
known_test,max_logit,4.798445463180542,0.9098073555166375,0.04587744626243184,3117,3426
known_test,max_logit,5.0237414836883545,0.8998832457676591,0.04346415828738237,3083,3426
known_test,max_logit,5.165363073348999,0.8899591360186807,0.040341095441128294,3049,3426
known_test,max_logit,5.352654933929443,0.8800350262697023,0.03814262023217252,3015,3426
known_test,max_logit,5.567028641700745,0.8698190309398716,0.036577181208053644,2980,3426
known_test,max_logit,5.783298492431641,0.8598949211908932,0.035302104548540436,2946,3426
known_test,max_logit,5.923057794570923,0.8499708114419148,0.03399725274725274,2912,3426
known_test,max_logit,6.058514595031738,0.8400467016929364,0.032661570535093776,2878,3426
known_test,max_logit,6.205502033233643,0.8298307063631056,0.031304959549771416,2843,3426
